title,year,director,tmdb_id,poster_path,matched_title,matched_year,original_language,reason
Kapoor & Sons,2016,Shakun Batra,374173,/oPdcOInH8TqR5udDTDPiDuLSN90.jpg,Kapoor & Sons,2016,hi,
Fan,2016,Maneesh Sharma,377985,/ui7DYyQB4wsbBvom97KPNkldYWa.jpg,Fan,2016,hi,
Fitoor,2016,Abhishek Kapoor,376047,/7D8KKUspZVzr4pevoiP8G5vs6fI.jpg,Fitoor,2016,hi,
Deewar (Don't Breathe Hindi),2016,Jeethu Joseph,,,,,,NO_RESULTS
Tiger Zinda Hai,2017,Ali Abbas Zafar,441909,/mdzNLFfCfuBoJz43l0SmMWWdu5t.jpg,Tiger Zinda Hai,2017,hi,
Toilet: Ek Prem Katha,2017,Shree Narayan Singh,441875,/8YUBka56t4HcHLVMGnGA1WizpMV.jpg,Toilet: A Love Story,2017,hi,
Judwaa 2,2017,David Dhawan,456565,/3BlL1cbOTkzHSXTy3Lw95OfiCKX.jpg,Judwaa 2,2017,hi,
Baahubali 2: The Conclusion (Hindi),2017,S. S. Rajamouli,,,,,,NO_RESULTS
Jolly LLB 2,2017,Subhash Kapoor,412090,/n9MjoGmaYagaaETCQP0S6Ch3JLH.jpg,Jolly LLB 2,2017,hi,
Badrinath Ki Dulhania,2017,Shashank Khaitan,413646,/e1tV7gYSF5iw8NPR78sUHNb3YLU.jpg,Badrinath Ki Dulhania,2017,hi,
Hindi Medium,2017,Saket Chaudhary,456570,/2v0nQd3kYBV0iPNCVHiaLWGb1hg.jpg,Hindi Medium,2017,hi,
Tubelight,2017,Kabir Khan,441881,/hy7Ka19Vx2TwXA6OWZSe4XuMDlK.jpg,Tubelight,2017,hi,
Jab Harry Met Sejal,2017,Imtiaz Ali,441906,/yraJilUVLSd6BmQ4f1YtJGmcNkf.jpg,Jab Harry Met Sejal,2017,hi,
Kaabil,2017,Sanjay Gupta,403867,/ojs8b5N2BgFYoHCSb6vu0egZb6v.jpg,Kaabil,2017,hi,
Drishyam (Hindi),2017,Nishikant Kamat,,,,,,NO_RESULTS
Sanju,2018,Rajkumar Hirani,496328,/q1wkN4VQuBTj1AeyTLLz2w6awMA.jpg,Sanju,2018,hi,
Padmaavat,2018,Sanjay Leela Bhansali,432527,/5kk71s8Vmvt8XQOojevhTA5QcB0.jpg,Padmaavat,2018,hi,
Baaghi 2,2018,Ahmed Khan,496316,/nkjkHg9yCpPDM7COGCXfDtUJa2X.jpg,Baaghi 2,2018,hi,
Stree,2018,Amar Kaushik,533991,/2xLDWr72Wxc1JGmbxza2V8g26YH.jpg,Stree,2018,hi,
Andhadhun,2018,Sriram Raghavan,534780,/dy3K6hNvwE05siGgiLJcEiwgpdO.jpg,Andhadhun,2018,hi,
Badhaai Ho,2018,Amit Sharma,547654,/1RCzZkjxnL9MiAOP4oQQm63Ku0p.jpg,Badhaai Ho,2018,hi,
Raazi,2018,Meghna Gulzar,491629,/fF2xXApETxZqyluokyJ1x4gIiTf.jpg,Raazi,2018,hi,
Race 3,2018,Remo D'Souza,496320,/wtnA5mmNumYkeevokar6IskyrZP.jpg,Race 3,2018,hi,
Gold,2018,Reema Kagti,478682,/xCcdW6nHRcrKWraErYV5g3tut7Q.jpg,Gold,2018,hi,
October,2018,Shoojit Sircar,496527,/nHUBPUwXkHinq2rIXnnCHsPylD1.jpg,October,2018,hi,
War,2019,Siddharth Anand,585268,/yUtaHkL2SDIAZhRApZAyQrAXygn.jpg,War,2019,hi,
